id,s_id,name,t_total_pop,m_total_pop,f_total_pop,t_main_pop,t_main,t_main_rel,f_main_pop,f_main,f_main_rel,m_main_pop,m_main,m_main_rel
12072,12,Teltow-Fläming,163553,81514,82039,94587,3060,3.2,45821,1619,3.5,48766,1441,3
12073,12,Uckermark,121014,59492,61522,67836,3092,4.6,33245,1847,5.6,34591,1245,3.6
13003,13,Rostock,206011,101078,104933,114617,6017,5.2,55101,3101,5.6,59516,2916,4.9
13004,13,Schwerin,96800,47028,49772,52594,2986,5.7,26121,1688,6.5,26473,1298,4.9
13071,13,Mecklenburgische Seenplatte,262517,129182,133335,150395,6740,4.5,73328,3907,5.3,77067,2833,3.7
13072,13,Landkreis Rostock,213473,106674,106799,124570,6207,5,60224,3690,6.1,64346,2517,3.9
13073,13,Vorpommern-Rügen,224820,110885,113935,128107,5530,4.3,62306,2925,4.7,65801,2605,4
13074,13,Nordwestmecklenburg,156270,77871,78399,90296,3939,4.4,43674,2245,5.1,46622,1694,3.6
13075,13,Vorpommern-Greifswald,238358,117353,121005,135701,6341,4.7,66209,3497,5.3,69492,2844,4.1
13076,13,Ludwigslust-Parchim,214113,107761,106352,125369,5290,4.2,60078,3056,5.1,65291,2234,3.4
14511,14,Chemnitz,248645,122748,125897,131274,7068,5.4,63122,4104,6.5,68152,2964,4.3
14521,14,Erzgebirgskreis,347665,170364,177301,188367,7681,4.1,91488,4873,5.3,96879,2808,2.9
14522,14,Mittelsachsen,312450,155084,157366,169685,6715,4,81243,4019,4.9,88442,2696,3
14523,14,Vogtlandkreis,232318,113174,119144,124740,4861,3.9,60921,3051,5,63819,1810,2.8
14524,14,Zwickau,324534,158067,166467,174056,7977,4.6,84827,5098,6,89229,2879,3.2
14612,14,Dresden,543825,270410,273415,296548,13985,4.7,142915,7588,5.3,153633,6397,4.2
14625,14,Bautzen,306273,151349,154924,167934,7472,4.4,80939,4728,5.8,86995,2744,3.2
14626,14,Görlitz,260000,127325,132675,138425,6381,4.6,66981,3844,5.7,71444,2537,3.6
14627,14,Meißen,245244,121132,124112,133722,4945,3.7,64595,3041,4.7,69127,1904,2.8
14628,14,Sächs. Schweiz-Osterzgebirge,247412,122565,124847,133508,4748,3.6,64663,2631,4.1,68845,2117,3.1
14713,14,Leipzig,560472,274414,286058,315631,15756,5,153131,8935,5.8,162500,6821,4.2
14729,14,Leipzig,258408,126877,131531,143999,5298,3.7,70366,3091,4.4,73633,2207,3
14730,14,Nordsachsen,197605,98052,99553,112213,4516,4,54020,2533,4.7,58193,1983,3.4
15001,15,Dessau-Roßlau,82919,40311,42608,44034,1512,3.4,21623,915,4.2,22411,597,2.7
15002,15,Halle (Saale),236991,114581,122410,126269,6897,5.5,62141,3970,6.4,64128,2927,4.6
15003,15,Magdeburg,235723,115810,119913,128012,6165,4.8,62212,3513,5.6,65800,2652,4
15081,15,Altmarkkreis Salzwedel,86164,43104,43060,49489,2089,4.2,23628,1295,5.5,25861,794,3.1
15082,15,Anhalt-Bitterfeld,164817,80940,83877,92426,3503,3.8,44865,2045,4.6,47561,1458,3.1
15083,15,Börde,173473,86819,86654,101523,3363,3.3,48853,1997,4.1,52670,1366,2.6
15084,15,Burgenlandkreis,184081,91276,92805,102524,4209,4.1,48961,2688,5.5,53563,1521,2.8
15085,15,Harz,221366,109026,112340,121735,5135,4.2,59255,3234,5.5,62480,1901,3
15086,15,Jerichower Land,91693,45870,45823,52461,1960,3.7,24995,1153,4.6,27466,807,2.9
15087,15,Mansfeld-Südharz,141408,69831,71577,77887,3093,4,37517,1989,5.3,40370,1104,2.7
15088,15,Saalekreis,186431,92339,94092,106247,4255,4,51817,2418,4.7,54430,1837,3.4
15089,15,Salzlandkreis,196695,96161,100534,108900,4352,4,52955,2769,5.2,55945,1583,2.8
15090,15,Stendal,115262,57194,58068,65441,2613,4,31579,1570,5,33862,1043,3.1
15091,15,Wittenberg,128447,63427,65020,71508,2728,3.8,34557,1810,5.2,36951,918,2.5
16051,16,Erfurt,210118,102259,107859,118116,6668,5.6,58074,3845,6.6,60042,2823,4.7
16052,16,Gera,96011,46414,49597,52187,1890,3.6,25664,1207,4.7,26523,683,2.6
16053,16,Jena,109527,54467,55060,60318,3402,5.6,28755,1772,6.2,31563,1630,5.2
16054,16,Suhl,36778,18071,18707,19445,1224,6.3,9635,693,7.2,9810,531,5.4
16055,16,Weimar,64131,31002,33129,35015,1897,5.4,17404,1102,6.3,17611,795,4.5
16056,16,Eisenach,42417,20810,21607,23347,1043,4.5,11361,650,5.7,11986,393,3.3
16061,16,Eichsfeld,101325,50927,50398,57184,2277,4,27400,1408,5.1,29784,869,2.9
16062,16,Nordhausen,85355,42292,43063,46758,1837,3.9,22570,1152,5.1,24188,685,2.8
16063,16,Wartburgkreis,125655,62914,62741,71775,2846,4,34414,1947,5.7,37361,899,2.4
16064,16,Unstrut-Hainich-Kreis,105273,52367,52906,58686,2420,4.1,28268,1478,5.2,30418,942,3.1
16065,16,Kyffhäuserkreis,77110,38432,38678,43375,1620,3.7,20815,1042,5,22560,578,2.6
16066,16,Schmalkalden-Meiningen,124623,62268,62355,70626,2930,4.1,33797,1772,5.2,36829,1158,3.1
16067,16,Gotha,136831,68341,68490,76966,2800,3.6,36995,1685,4.6,39971,1115,2.8
16068,16,Sömmerda,70600,35274,35326,41030,1602,3.9,19883,946,4.8,21147,656,3.1
16069,16,Hildburghausen,64524,32271,32253,37504,1067,2.8,17849,672,3.8,19655,395,2
16070,16,Ilm-Kreis,109620,55077,54543,61133,2321,3.8,29052,1405,4.8,32081,916,2.9
16071,16,Weimarer Land,82127,40784,41343,47245,1563,3.3,23007,857,3.7,24238,706,2.9
