f_mean,f_o5,f_sum,f_u1,f_u2,f_u5,m_mean,m_o5,m_sum,m_u1,m_u2,m_u5,t_mean,t_o5,t_sum,t_u1,t_u2,t_u5,state,name,ags,f_o5_rel
1058,2629,15542,4838,2945,5130,891,1347,9937,3801,1937,2852,993,3976,25479,8639,4882,7982,05,Warendorf,05570,16.915454896409727
1003,3978,26412,8812,4867,8755,868,2019,16139,6377,3106,4637,952,5997,42551,15189,7973,13392,05,Wesel,05170,15.061335756474332
1025,1308,8097,2754,1494,2541,899,752,5480,2165,1077,1486,974,2060,13577,4919,2571,4027,05,Mülheim an der Ruhr,05117,16.154131159688774
808,2493,21353,9315,4149,5396,711,1444,14882,7195,2918,3325,768,3937,36235,16510,7067,8721,05,Münster,05515,11.675174448555238
922,2318,16323,6535,3020,4450,798,1177,9971,4586,1850,2358,875,3495,26294,11121,4870,6808,05,Mönchengladbach,05116,14.200820927525578
933,1551,11833,4092,2712,3478,800,755,6878,2825,1522,1776,884,2306,18711,6917,4234,5254,05,Oberhausen,05119,13.107411476379616
1018,979,6655,2223,1235,2218,875,515,4040,1602,793,1130,964,1494,10695,3825,2028,3348,05,Remscheid,05120,14.710743801652892
1033,1238,7440,2575,1386,2241,877,701,5215,2148,1005,1361,969,1939,12655,4723,2391,3602,05,Solingen,05122,16.63978494623656
921,4506,32250,12602,5924,9218,734,2597,26158,12396,5112,6053,837,7103,58408,24998,11036,15271,05,Städteregion Aachen,05334,13.972093023255812
953,2631,18176,6457,3591,5497,822,1490,12675,5360,2485,3340,900,4121,30851,11817,6076,8837,05,Wuppertal,05124,14.475132042253522
864,473,3824,1477,766,1108,751,333,3412,1484,689,906,811,806,7236,2961,1455,2014,12,Barnim,12060,12.369246861924687
824,210,1746,632,423,481,796,201,1692,652,386,453,810,411,3438,1284,809,934,12,Brandenburg an der Havel,12051,12.027491408934708
819,610,4475,1978,931,956,722,431,3951,1897,787,836,774,1041,8426,3875,1718,1792,12,Cottbus,12052,13.631284916201118
783,246,2229,960,489,534,713,161,1784,792,397,434,752,407,4013,1752,886,968,12,Frankfurt (Oder),12053,11.036339165545089
851,472,3568,1426,775,895,778,364,3203,1468,645,726,816,836,6771,2894,1420,1621,12,Dahme-Spreewald,12061,13.228699551569505
1038,474,2592,832,468,818,913,280,1768,683,328,477,987,754,4360,1515,796,1295,12,Elbe-Elster,12062,18.287037037037038
871,499,3654,1439,693,1023,859,415,2965,1248,548,754,866,914,6619,2687,1241,1777,12,Havelland,12063,13.656267104542966
920,553,3972,1467,769,1183,761,379,3458,1549,656,874,846,932,7430,3016,1425,2057,12,Märkisch-Oderland,12064,13.92245720040282
887,636,4544,1727,955,1226,765,426,4079,1727,849,1077,829,1062,8623,3454,1804,2303,12,Oberhavel,12065,13.996478873239438
945,412,2796,966,572,846,837,249,1865,774,365,477,902,661,4661,1740,937,1323,12,Oberspreewald-Lausitz,12066,14.735336194563661
894,479,3687,1317,763,1128,787,315,3221,1294,680,932,844,794,6908,2611,1443,2060,12,Oder-Spree,12067,12.991592080282071
862,299,2159,826,486,548,775,183,1729,702,384,460,823,482,3888,1528,870,1008,12,Ostprignitz-Ruppin,12068,13.849004168596574
743,615,8031,3304,1674,2438,749,470,4735,2158,886,1221,745,1085,12766,5462,2560,3659,12,Potsdam-Mittelmark,12069,7.657825924542398
940,295,1946,711,365,575,857,200,1562,605,296,461,903,495,3508,1316,661,1036,12,Prignitz,12070,15.159301130524153
998,439,2508,881,464,724,876,233,1765,697,338,497,948,672,4273,1578,802,1221,12,Spree-Neiße,12071,17.503987240829346
934,496,3323,1219,648,960,815,363,3108,1266,637,842,877,859,6431,2485,1285,1802,12,Teltow-Fläming,12072,14.926271441468552
649,437,6277,2971,1366,1503,644,334,5142,2401,1063,1344,647,771,11419,5372,2429,2847,12,Potsdam,12054,6.961924486219531
878,406,2875,1140,575,754,804,269,2132,924,423,516,846,675,5007,2064,998,1270,12,Uckermark,12073,14.121739130434783
